Initials,Date,Course ID,Time (m),Summary
,,,,
CNP,1/11/2022,DS-160-01,30,Read Ch. 2
CNP,1/11/2022,DS-160-01,15,Set up excel spreadsheet
CNP,1/11/2022,ECON-232-01,15,Studied for review quiz
CNP,1/12/2022,PHIL-301-08,40,Read Crito
CNP,1/13/2022,MATH-215-01,45,Weekly homework problems
CNP,1/17/2022,DS-160-01,30,Read Ch. 3
CNP,1/17/2022,SOC-101-01,30,Study for quiz 1
CNP,1/17/2022,MATH-231-01,150,Weekly homework problems
CNP,1/18/2022,ECON-232-01,60,Study for review quiz
CNP,1/19/2022,MATH-231-01,30,Study for quiz 1
CNP,1/20/2022,MATH-215-01,60,Weekly homework problems
CNP,1/22/2022,ECON-232-01,30,Study for quiz 2
CNP,1/23/2022,PHIL-301-08,45,Reading The Republic
CNP,1/26/2022,MATH-215-01,75,Weekly homework problems
CNP,1/27/2022,SOC-101-01,60,Writing Assignment
CNP,1/29/2022,MATH-231-01,120,Weekly homework problems
CNP,1/30/2022,ECON-232-01,30,Studying
CNP,1/30/2022,PHIL-301-08,30,Studying for quiz
CNP,2/2/2022,DS-160-01,30,Reading
CNP,2/2/2022,ECON-232-01,60,Homework and studying
CNP,2/5/2022,MATH-231-01,120,Weekly homework problems
CNP,2/5/2022,MATH-215-01,60,Weekly homework problems
CNP,2/8/2022,DS-160-01,240,Individual Project
CNP,2/9/2022,MATH-231-01,75,Study for test
CNP,2/12/2022,PHIL-301-08,30,Study for test
CNP,2/13/2022,ECON-232-01,75,Study for test
CNP,2/13/2022,MATH-215-01,60,Study for test
CNP,2/14/2022,MATH-215-01,60,Studying for exam
CNP,2/16/2022,MATH-231-01,60,Studying for exam
CNP,2/16/2022,DS-160-01,120,Individual Project 2
CNP,2/19/2022,PHIL-301-08,60,Studying for exam
CNP,2/20/2022,ECON-232-01,30,Review
CNP,2/22/2022,ECON-232-01,60,Studying
CNP,2/22/2022,MATH-231-01,90,Study for Exam
CNP,2/23/2022,DS-160-01,180,Essay and studying for exam
CNP,2/24/2022,PHIL-301-08,120,Essay
CNP,3/9/2022,MATH-231-01,120,Weekly homework problems
CNP,3/9/2022,MATH-215-01,90,Weekly homework problems
CNP,3/10/2022,SOC-101-01,60,Homework assignment
CNP,3/12/2022,ECON-232-01,60,Homework examples
CNP,3/13/2022,DS-160-01,180,Team Assignment 1
CNP,3/15/2022,SOC-101-01,90,Film and Analysis
CNP,3/16/2022,ECON-232-01,45,Homework examples
CNP,3/16/2022,MATH-215-01,90,Weekly homework problems
CNP,3/17/2022,PHIL-301-08,60,Reading and studying
CNP,3/19/2022,MATH-231-01,180,Weekly homework problems
CNP,3/20/2022,DS-160-01,220,Team Assignment 2
CNP,3/22/2022,MATH-231-01,200,Weekly homework problems
CNP,3/23/2022,DS-160-01,30,Reviewing and learning SQL
CNP,3/24/2022,ECON-232-01,180,Studying for exam
CNP,3/26/2022,SOC-101-01,30,Film and analysis
CNP,3/26/2022,PHIL-301-08,240,Essay
CNP,3/27/2022,MATH-215-01,180,Studying for exam
CNP,3/28/2022,MATH-215-01,60,Studying for exam
CNP,3/30/2022,MATH-231-01,135,Weekly homework problems
CNP,3/30/2022,PHIL-301-08,90,Essay Revisions
CNP,4/2/2022,ECON-232-01,60,Exam review
CNP,4/3/2022,DS-160-01,240,Individual Assignment 4
CNP,4/5/2022,MATH-231-01,150,Weekly homework problems
CNP,4/6/2022,MATH-215-01,120,Take Home Exam #2
CNP,4/6/2022,PHIL-301-08,60,Essay Final Draft
CNP,4/7/2022,ECON-232-01,60,Studying
CNP,4/9/2022,SOC-101-01,30,Take Home Quiz
CNP,4/10/2022,MATH-231-01,30,Studying for Exam 2
CNP,4/11/2022,MATH-231-01,180,Studying for Exam 2
CNP,4/12/2022,ECON-232-01,60,Presentation Preparation
CNP,4/14/2022,SOC-101-01,120,"""Becoming Me"" Essay"
CNP,4/14/2022,MATH-215-01,120,Weekly homework problems
CNP,4/16/2022,PHIL-301-08,60,Presentation Preparation
CNP,4/17/2022,DS-160-01,45,Seeing Dataset for Project
